date,t2m
2024-04-01,301.5864078510932
2024-04-02,299.9205542825723
2024-04-03,301.5085431529493
2024-04-04,295.8689641673432
2024-04-05,299.7035900884084
2024-04-06,298.6187810207487
2024-04-07,301.5997877666841
2024-04-08,301.6249596868079
2024-04-09,297.45082137728025
2024-04-10,298.0666681374221
2024-04-11,298.2625213510992
2024-04-12,304.0546139318873
2024-04-13,296.36423691377854
2024-04-14,297.2252678240534
2024-04-15,301.7242132186158
2024-04-16,299.3886820804392
2024-04-17,301.58965609304323
2024-04-18,298.9149852064642
2024-04-19,298.58026710002076
2024-04-20,299.7080922306592
2024-04-21,297.862880387523
2024-04-22,300.04434984072736
2024-04-23,297.9066691657492
2024-04-24,301.1849723585792
